job starting
[worker: 434] [integral: 0] min_calculation: 75950000 / max_calculation: 76125000, total_calculations: 179200000
[worker: 52] [integral: 0] min_calculation: 9100000 / max_calculation: 9275000, total_calculations: 179200000
[worker: 164] [integral: 0] min_calculation: 28700000 / max_calculation: 28875000, total_calculations: 179200000
[worker: 306] [integral: 0] min_calculation: 53550000 / max_calculation: 53725000, total_calculations: 179200000
[worker: 388] [integral: 0] min_calculation: 67900000 / max_calculation: 68075000, total_calculations: 179200000
[worker: 178] [integral: 0] min_calculation: 31150000 / max_calculation: 31325000, total_calculations: 179200000
[worker: 50] [integral: 0] min_calculation: 8750000 / max_calculation: 8925000, total_calculations: 179200000
[worker: 292] [integral: 0] min_calculation: 51100000 / max_calculation: 51275000, total_calculations: 179200000
[worker: 420] [integral: 0] min_calculation: 73500000 / max_calculation: 73675000, total_calculations: 179200000
[worker: 132] [integral: 0] min_calculation: 23100000 / max_calculation: 23275000, total_calculations: 179200000
[worker: 386] [integral: 0] min_calculation: 67550000 / max_calculation: 67725000, total_calculations: 179200000
[worker: 10] [integral: 0] min_calculation: 1750000 / max_calculation: 1925000, total_calculations: 179200000
[worker: 258] [integral: 0] min_calculation: 45150000 / max_calculation: 45325000, total_calculations: 179200000
[worker: 498] [integral: 0] min_calculation: 87150000 / max_calculation: 87325000, total_calculations: 179200000
[worker: 36] [integral: 0] min_calculation: 6300000 / max_calculation: 6475000, total_calculations: 179200000
[worker: 228] [integral: 0] min_calculation: 39900000 / max_calculation: 40075000, total_calculations: 179200000
[worker: 370] [integral: 0] min_calculation: 64750000 / max_calculation: 64925000, total_calculations: 179200000
[worker: 396] [integral: 0] min_calculation: 69300000 / max_calculation: 69475000, total_calculations: 179200000
[worker: 162] [integral: 0] min_calculation: 28350000 / max_calculation: 28525000, total_calculations: 179200000
[worker: 34] [integral: 0] min_calculation: 5950000 / max_calculation: 6125000, total_calculations: 179200000
[worker: 356] [integral: 0] min_calculation: 62300000 / max_calculation: 62475000, total_calculations: 179200000
[worker: 436] [integral: 0] min_calculation: 76300000 / max_calculation: 76475000, total_calculations: 179200000
[worker: 140] [integral: 0] min_calculation: 24500000 / max_calculation: 24675000, total_calculations: 179200000
[worker: 394] [integral: 0] min_calculation: 68950000 / max_calculation: 69125000, total_calculations: 179200000
[worker: 66] [integral: 0] min_calculation: 11550000 / max_calculation: 11725000, total_calculations: 179200000
[worker: 274] [integral: 0] min_calculation: 47950000 / max_calculation: 48125000, total_calculations: 179200000
[worker: 418] [integral: 0] min_calculation: 73150000 / max_calculation: 73325000, total_calculations: 179200000
[worker: 100] [integral: 0] min_calculation: 17500000 / max_calculation: 17675000, total_calculations: 179200000
[worker: 172] [integral: 0] min_calculation: 30100000 / max_calculation: 30275000, total_calculations: 179200000
[worker: 290] [integral: 0] min_calculation: 50750000 / max_calculation: 50925000, total_calculations: 179200000
[worker: 452] [integral: 0] min_calculation: 79100000 / max_calculation: 79275000, total_calculations: 179200000
[worker: 242] [integral: 0] min_calculation: 42350000 / max_calculation: 42525000, total_calculations: 179200000
[worker: 114] [integral: 0] min_calculation: 19950000 / max_calculation: 20125000, total_calculations: 179200000
[worker: 300] [integral: 0] min_calculation: 52500000 / max_calculation: 52675000, total_calculations: 179200000
[worker: 428] [integral: 0] min_calculation: 74900000 / max_calculation: 75075000, total_calculations: 179200000
[worker: 148] [integral: 0] min_calculation: 25900000 / max_calculation: 26075000, total_calculations: 179200000
[worker: 450] [integral: 0] min_calculation: 78750000 / max_calculation: 78925000, total_calculations: 179200000
[worker: 18] [integral: 0] min_calculation: 3150000 / max_calculation: 3325000, total_calculations: 179200000
[worker: 266] [integral: 0] min_calculation: 46550000 / max_calculation: 46725000, total_calculations: 179200000
[worker: 482] [integral: 0] min_calculation: 84350000 / max_calculation: 84525000, total_calculations: 179200000
[worker: 44] [integral: 0] min_calculation: 7700000 / max_calculation: 7875000, total_calculations: 179200000
[worker: 180] [integral: 0] min_calculation: 31500000 / max_calculation: 31675000, total_calculations: 179200000
[worker: 354] [integral: 0] min_calculation: 61950000 / max_calculation: 62125000, total_calculations: 179200000
[worker: 404] [integral: 0] min_calculation: 70700000 / max_calculation: 70875000, total_calculations: 179200000
[worker: 226] [integral: 0] min_calculation: 39550000 / max_calculation: 39725000, total_calculations: 179200000
[worker: 98] [integral: 0] min_calculation: 17150000 / max_calculation: 17325000, total_calculations: 179200000
[worker: 316] [integral: 0] min_calculation: 55300000 / max_calculation: 55475000, total_calculations: 179200000
[worker: 484] [integral: 0] min_calculation: 84700000 / max_calculation: 84875000, total_calculations: 179200000
[worker: 196] [integral: 0] min_calculation: 34300000 / max_calculation: 34475000, total_calculations: 179200000
[worker: 402] [integral: 0] min_calculation: 70350000 / max_calculation: 70525000, total_calculations: 179200000
[worker: 74] [integral: 0] min_calculation: 12950000 / max_calculation: 13125000, total_calculations: 179200000
