job starting
[worker: 558] [integral: 0] min_calculation: 762890 / max_calculation: 764257, total_calculations: 1400000
[worker: 416] [integral: 0] min_calculation: 568750 / max_calculation: 570117, total_calculations: 1400000
[worker: 656] [integral: 0] min_calculation: 896875 / max_calculation: 898242, total_calculations: 1400000
[worker: 686] [integral: 0] min_calculation: 937890 / max_calculation: 939257, total_calculations: 1400000
[worker: 398] [integral: 0] min_calculation: 544140 / max_calculation: 545507, total_calculations: 1400000
[worker: 288] [integral: 0] min_calculation: 393750 / max_calculation: 395117, total_calculations: 1400000
[worker: 544] [integral: 0] min_calculation: 743750 / max_calculation: 745117, total_calculations: 1400000
[worker: 278] [integral: 0] min_calculation: 380078 / max_calculation: 381445, total_calculations: 1400000
[worker: 672] [integral: 0] min_calculation: 918750 / max_calculation: 920117, total_calculations: 1400000
[worker: 302] [integral: 0] min_calculation: 412890 / max_calculation: 414257, total_calculations: 1400000
[worker: 654] [integral: 0] min_calculation: 894140 / max_calculation: 895507, total_calculations: 1400000
[worker: 528] [integral: 0] min_calculation: 721875 / max_calculation: 723242, total_calculations: 1400000
[worker: 400] [integral: 0] min_calculation: 546875 / max_calculation: 548242, total_calculations: 1400000
[worker: 280] [integral: 0] min_calculation: 382812 / max_calculation: 384179, total_calculations: 1400000
[worker: 526] [integral: 0] min_calculation: 719140 / max_calculation: 720507, total_calculations: 1400000
[worker: 566] [integral: 0] min_calculation: 773828 / max_calculation: 775195, total_calculations: 1400000
[worker: 432] [integral: 0] min_calculation: 590625 / max_calculation: 591992, total_calculations: 1400000
[worker: 664] [integral: 0] min_calculation: 907812 / max_calculation: 909179, total_calculations: 1400000
[worker: 678] [integral: 0] min_calculation: 926953 / max_calculation: 928320, total_calculations: 1400000
[worker: 406] [integral: 0] min_calculation: 555078 / max_calculation: 556445, total_calculations: 1400000
[worker: 304] [integral: 0] min_calculation: 415625 / max_calculation: 416992, total_calculations: 1400000
[worker: 560] [integral: 0] min_calculation: 765625 / max_calculation: 766992, total_calculations: 1400000
[worker: 334] [integral: 0] min_calculation: 456640 / max_calculation: 458007, total_calculations: 1400000
[worker: 688] [integral: 0] min_calculation: 940625 / max_calculation: 941992, total_calculations: 1400000
[worker: 294] [integral: 0] min_calculation: 401953 / max_calculation: 403320, total_calculations: 1400000
[worker: 662] [integral: 0] min_calculation: 905078 / max_calculation: 906445, total_calculations: 1400000
[worker: 592] [integral: 0] min_calculation: 809375 / max_calculation: 810742, total_calculations: 1400000
[worker: 464] [integral: 0] min_calculation: 634375 / max_calculation: 635742, total_calculations: 1400000
[worker: 336] [integral: 0] min_calculation: 459375 / max_calculation: 460742, total_calculations: 1400000
[worker: 534] [integral: 0] min_calculation: 730078 / max_calculation: 731445, total_calculations: 1400000
[worker: 622] [integral: 0] min_calculation: 850390 / max_calculation: 851757, total_calculations: 1400000
[worker: 424] [integral: 0] min_calculation: 579687 / max_calculation: 581054, total_calculations: 1400000
[worker: 720] [integral: 0] min_calculation: 984375 / max_calculation: 985742, total_calculations: 1400000
[worker: 694] [integral: 0] min_calculation: 948828 / max_calculation: 950195, total_calculations: 1400000
[worker: 462] [integral: 0] min_calculation: 631640 / max_calculation: 633007, total_calculations: 1400000
[worker: 296] [integral: 0] min_calculation: 404687 / max_calculation: 406054, total_calculations: 1400000
[worker: 552] [integral: 0] min_calculation: 754687 / max_calculation: 756054, total_calculations: 1400000
[worker: 342] [integral: 0] min_calculation: 467578 / max_calculation: 468945, total_calculations: 1400000
[worker: 680] [integral: 0] min_calculation: 929687 / max_calculation: 931054, total_calculations: 1400000
[worker: 358] [integral: 0] min_calculation: 489453 / max_calculation: 490820, total_calculations: 1400000
[worker: 718] [integral: 0] min_calculation: 981640 / max_calculation: 983007, total_calculations: 1400000
[worker: 536] [integral: 0] min_calculation: 732812 / max_calculation: 734179, total_calculations: 1400000
[worker: 408] [integral: 0] min_calculation: 557812 / max_calculation: 559179, total_calculations: 1400000
[worker: 320] [integral: 0] min_calculation: 437500 / max_calculation: 438867, total_calculations: 1400000
